number,customer,description,price,country,url_addr,deadline
2019-718736,"РУП ""БЕЛТЕЛЕКОМ""","Переговоры по модернизации объектов связи по Минской области (строительство телефонной канализации, прокладка ВОК и парного кабеля, строительство сетей PON. MSAN. DSLAM. станционных сооружений связи)",797 086.22,BLR,http://www.icetrade.by/tenders/all/view/718736,2019-07-11
2019-718732,"ОАО ""Гродно Азот""",кислоты уксусной 70% на 2 полугодие 2019 года,0,BLR,http://www.icetrade.by/tenders/all/view/718732,2019-06-28
2019-718731,"Управление по образованию, спорту и туризму Червенского районного исполнительного комитета",выбор подрядной организации по установке автоматической пожарной сигнализации и системы оповещения о пожаре.,142 063,BLR,http://www.icetrade.by/tenders/all/view/718731,2019-07-05
2019-718730,"КУП ""Брестское областное управление капитального строительства""","система аудио-видеофиксации, протоколирования судебных заседаний.",547 275.07,BLR,http://www.icetrade.by/tenders/all/view/718730,2019-06-27
2019-718729,"РУП ""БЕЛТЕЛЕКОМ""","Переговоры по модернизации объектов связи по Минской области (строительство телефонной канализации, прокладка ВОК и парного кабеля, строительство сетей PON. MSAN. DSLAM. станционных сооружений связи)",229 488.87,BLR,http://www.icetrade.by/tenders/all/view/718729,2019-07-10
2019-718728,"УП ""УКС МИНГОРИСПОЛКОМА""","Закупка мебели для объекта строительства «Реконструкция с капитальным ремонтом комплекса зданий УО «Специализированный лицей МВД РБ по адресу: ул. Стахановская,13»",0,BLR,http://www.icetrade.by/tenders/all/view/718728,2019-07-08
2019-718723,"ОАО ""Гродно Азот""",Закупка передвижных  блок-контейнеров на шасси,1,BLR,http://www.icetrade.by/tenders/all/view/718723,2019-07-02
2019-718719,"РУП ""БЕЛТЕЛЕКОМ""","Переговоры по модернизации объектов связи по Минской области (строительство телефонной канализации, прокладка ВОК и парного кабеля, строительство сетей PON. MSAN. DSLAM. станционных сооружений связи)",154 668.73,BLR,http://www.icetrade.by/tenders/all/view/718719,2019-07-10
2019-718715,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",Закупка теплоизоляции,18 171.07,BLR,http://www.icetrade.by/tenders/all/view/718715,2019-07-22
2019-718710,"РУП ""БЕЛТЕЛЕКОМ""","Переговоры по модернизации объектов связи по Минской области (строительство телефонной канализации, прокладка ВОК и парного кабеля, строительство сетей PON. MSAN. DSLAM. станционных сооружений связи)",120 435.65,BLR,http://www.icetrade.by/tenders/all/view/718710,2019-07-09
2019-718709,Средняя школа № 3 г. Столбцы,Продукты питания 2019 год,140 702.95,BLR,http://www.icetrade.by/tenders/all/view/718709,2019-06-26
2019-718707,"УП ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ МИНСКОГО МЕТРОПОЛИТЕНА""",Закупка оборудования для Магистральной информационной сети на базе волоконно-оптических линий связи (МИС ВОЛС).,2 898 394,BLR,http://www.icetrade.by/tenders/all/view/718707,2019-07-15
2019-718705,"РУП ""БЕЛТЕЛЕКОМ""","Переговоры по модернизации объектов связи по Минской области (строительство телефонной канализации, прокладка ВОК и парного кабеля, строительство сетей PON. MSAN. DSLAM. станционных сооружений связи)",451 931.25,BLR,http://www.icetrade.by/tenders/all/view/718705,2019-07-08
2019-718703,"Коммунальное производственное унитарное предприятие ""Гомельское городское ЖКХ""",Замена (модернизация) пассажирских лифтов в жилых домах,313 600,BLR,http://www.icetrade.by/tenders/all/view/718703,2019-07-08
2019-718695,"ОАО ""Минский молочный завод № 1""","Закупка асептического комбинированного материала на основе картона объёмом 1л. для упаковки стерилизованного молока в комплекте с многослойной аппликаторной лентой, в комплекте с крышкой (для упаковке на автомате Fibra Pack).",1 040 808,BLR,http://www.icetrade.by/tenders/all/view/718695,2019-06-27
2019-718692,Брестское ГОУОР,закупка технологического оборудования для сстоловой,12 900,BLR,http://www.icetrade.by/tenders/all/view/718692,2019-06-26
2019-718691,"Баскетбольный клуб ""Минск-2006""",Закупка услуг по организации звукового сопровождения спортивных мероприятий при проведении международных баскетбольных матчей,0,BLR,http://www.icetrade.by/tenders/all/view/718691,2019-06-27
2019-718688,17-я городская клиническая поликлиника,"Реагенты и расходные материалы , лабораторная посуда для КДЛ",0,BLR,http://www.icetrade.by/tenders/all/view/718688,2019-06-26
2019-718680,"Гомельское республиканское унитарное предприятие электроэнергетики ""Гомельэнерго""","Реконструкция ВЛ-0,4кВ от КТП-368 в аг. Урицкое  Гомельского района",0,BLR,http://www.icetrade.by/tenders/all/view/718680,2019-07-08
